,region,description,label_climat_reg
0,arusha,"Arusha a beaucoup de climats différents, mais est dominé par Csb.",Csb
1,dar-es-salaam,Cette région a un climat tropical. Les étés sont beaucoup plus pluvieux que les hivers en Dar es Salaam. Ce climat est considéré comme Aw selon la classification climatique de Köppen-Geiger.,Aw
2,dodoma,"Dodoma a beaucoup de climats différents, mais est dominé par BSh.",BSh
3,geita,"Geita a un climat tropical. Les étés sont beaucoup plus pluvieux que les hivers en Geita. Selon Köppen et Geiger, ce climat est classé comme Aw.",Aw
4,iringa,"Iringa a beaucoup de climats différents, mais est dominé par Csb.",Csb
5,kagera,Kagera a trois climats différents et est dominé par Aw.,Aw
6,north-pemba,North Pemba a deux climats différents et est dominé par Am.,Am
7,katavi,"Le climat est tropical en Katavi. En hiver, il ya beaucoup moins de précipitations en Katavi qu'en été. Ce climat est considéré comme Aw selon la classification climatique de Köppen-Geiger.",Aw
8,kigoma,Kigoma a deux climats différents et est dominé par Aw.,Aw
9,kilimanjaro,"Kilimanjaro a beaucoup de climats différents, mais les plus répandus sont Cwb, Aw.",Aw
10,south-pemba,South Pemba a deux climats différents et est dominé par Aw.,Aw
11,lindi,"Le climat est tropical en Lindi. En hiver, il ya beaucoup moins de précipitations en Lindi qu'en été. Selon Köppen et Geiger, ce climat est classé comme Aw.",Aw
12,manyara,"Manyara a beaucoup de climats différents, mais est dominé par Csb.",Csb
13,mara,Mara a trois climats différents et est dominé par Aw.,Aw
14,mbeya,"Mbeya a beaucoup de climats différents, mais est dominé par Aw.",Aw
15,morogoro,"Morogoro a beaucoup de climats différents, mais est dominé par Aw.",Aw
16,mtwara,"Mtwara le climat est classé comme tropical Par rapport à l'hiver, les étés ont beaucoup plus de pluie. Cet emplacement est classé comme Aw par Köppen et Geiger.",Aw
17,mwanza,"Le climat ici est tropical. En hiver, il ya beaucoup moins de précipitations en Mwanza qu'en été. Ce climat est considéré comme Aw selon la classification climatique de Köppen-Geiger.",Aw
18,njombe,Njombe a trois climats différents et est dominé par Csb.,Csb
19,pwani,"Le climat est tropical en Pwani. Les étés ici ont beaucoup de pluie, tandis que les hivers ont très peu. Selon Köppen et Geiger, ce climat est classé comme Aw.",Aw
20,rukwa,Rukwa a deux climats différents et est dominé par Aw.,Aw
21,ruvuma,Ruvuma a trois climats différents et est dominé par Aw.,Aw
22,shinyanga,Shinyanga a deux climats différents et est dominé par Aw.,Aw
23,simiyu,Simiyu a trois climats différents et est dominé par Aw.,Aw
24,singida,Singida a trois climats différents et est dominé par BSh.,BSh
25,tabora,Tabora a deux climats différents et est dominé par Aw.,Aw
26,tanga,"Tanga a beaucoup de climats différents, mais est dominé par Aw.",Aw
27,zanzibar-north,Zanzibar North a deux climats différents et est dominé par Am.,Am
28,zanzibar-south-central,Zanzibar South & Central a deux climats différents et est dominé par Aw.,Aw
29,zanzibar-urban-west,Zanzibar Urban/West a deux climats différents et est dominé par Am.,Am
